AbB 1, 4: 1	a-[n]a a-wi-lim ša D:AMAR.UTU ú-b[a-al-l]a-[ṭú-š]u
AbB 1, 4: 2	qí-bí-ma
AbB 1, 4: 3	um-ma <DIŠ:>be-lí-tukul-ti-ma
AbB 1, 4: 4	D:UTU ù D:AMAR.UTU aš-šu-mi-ia d[a-r]i-[i]š u₄-mi
AbB 1, 4: 5	li-ba-al-li-ṭú-ka
AbB 1, 4: 6	lu ša-al-ma-ta lu ba-al-ṭa-a-t[a]
AbB 1, 4: 7	l[u] da-r[i-a-t]⌈a⌉
AbB 1, 4: 8	[DINGIR na-ṣ]⌈i⌉-⌈i⌉[r]-k[a ...]
AbB 1, 4ʾ: 1	a-na [š]u-M[U?]/N[U?]-[...]
AbB 1, 4ʾ: 2	ù be-lí [x-...]
AbB 1, 4ʾ: 3	i-na mu-uḫ-ḫi-šu [...]
AbB 1, 4ʾ: 4	ti-si-i-ma &according to J. Aro OLZ 66:455: imp. Gt from šasû$
AbB 1, 4ʾ: 5	l[u]-⌈ú⌉ 0,1 ŠE.GIŠ.I₃ lu-ú 1 GIN₂ KU₃.BABBAR-am
AbB 1, 4ʾ: 6	lu-ša-bi-lu-nim
AbB 1, 4ʾ: 7	i-na e-bu-ri še-am ú-ul id-d[i]-nu
AbB 1, 4ʾ: 8	ù še-am ša at-ta &(ob. Rd.)$
AbB 1, 4ʾ: 9	ta-ad-di-nu-šum
AbB 1, 4ʾ: 10	[x]-la-[x-x-x]
AbB 1, 4ʾ: 11	[x-x-x-x-x] &left e.$
AbB 1, 4ʾ: 12	ú-ul ú-ša-ak-ši-da[m ...]
AbB 1, 4ʾ: 13	ŠUKU ⌈ú⌉-ul i-šu ù i-[...]
AbB 1, 4ʾ: 14	ŠUKU-t[i] a-d[i]-n[i] ú-ul [...]
AbB 1, 5: 1	[a-na] a-wi-lim ša D:AMAR.UTU
AbB 1, 5: 2	ú-ba-al-la-ṭú-šu
AbB 1, 5: 3	qí-bí-ma
AbB 1, 5: 4	um-ma <DIŠ:>i-ku-un-KA-D:EN.ZU-ma
AbB 1, 5: 5	D:UTU ù D:AMAR.UTU aš-šu-mi-ia da-ri-[...]
AbB 1, 5: 6	li-ba-al-li-ṭú-ka
AbB 1, 5: 7	l[u š]a-al-ma-a-ta lu ba-[a]l-[...]
AbB 1, 5: 8	lu da-ri-a-ta
AbB 1, 5: 9	[DIN]GIR na-ṣi-ir-ka ṣi-bu-tam a-ia ir-ši
AbB 1, 5: 10	a-na šu-ul-mi-ka aš-pu-[r]a-am
AbB 1, 5: 11	šu-lum-ka ma-ḫar D:UTU lu da-r[i]
AbB 1, 5: 12	ki-ma ti-du-ú [x-...] &rev.$
AbB 1, 5: 13	še-um <a-na> ra-pa-si-im ù [x-...]
AbB 1, 5: 14	ú-ul na-ṭú-um [...]
AbB 1, 5: 15	šu-up-[r]a-am-ma
AbB 1, 5: 16	5 ŠE.GUR a-na PI ka-ri-ia [x-x-x-x]
AbB 1, 5: 17	[l]⌈i⌉-id-di-nu-nim
AbB 1, 6: 1	a-na a-wi-lim ša ⌈D:⌉AMAR.UTU ú-b[a-...]
AbB 1, 6: 2	qí-bí-ma
AbB 1, 6: 3	um-ma <DIŠ:>ì-lí-i-[...-ma]
AbB 1, 6: 4	[D]:UT[U] ù D:AMAR.UTU [...]
AbB 1, 6: 5	[lu ša-a]l-ma-a-ta [...]
AbB 1, 6: 6	[lu] da-⌈ri⌉-⌈a⌉-⌈ta⌉
AbB 1, 6: 7	[DINGIR na-ṣ]⌈i⌉-ir-ka r[i-... l]i-ki-il
AbB 1, 6: 8	[a-na šu-ul]-mi-ka [aš-pu-ra-am]
AbB 1, 6: 9	[šu-lu-u]m-k[a ...-x-x]
AbB 1, 6: 10	[lu] da-r[i ...]
AbB 1, 6: 11	[DING]IR-ka la-ma-as-sà-ka ù [x-...]
AbB 1, 6: 12	[š]a i-ka-ra-ba-ak-kum [...-x-x-x]
AbB 1, 6: 13	aš-šum qá-ti NINDA ša za-[ma-ar-d]a-bu-tim &nach J. Aro, OLZ 61, 454: s. CAD Z. 5 zabardabbu$
AbB 1, 6: 14	ša ma-aḫ-ri-ka qá-tam šu-⌈a⌉-[t]i
AbB 1, 6: 15	⌈ù⌉ im-[x-x-x] la te-ZI?-[x-x]
AbB 1, 6: 16	[x-x-x-x] qí-ša-am-ma šu-[x]
AbB 1, 6: 17	[...] a-na pu-uḫ-ḫi-[...]
AbB 1, 6: 18	[...] &rev.$
AbB 1, 6: 19	[š]u-[u]p-ra-am-m[a]
AbB 1, 6: 20	a-na-ku še-a-am i-n[a] <ON:>KA₂.DINGIR.RA:KI [x-...]
AbB 1, 6: 21	ú-ul-li-ki-a-am še-um a-na ṣi-bu-[tim]
AbB 1, 6: 22	ri-ši li-ki-{IN!}<il>
AbB 1, 6: 23	DIŠ:DINGIR-ša-ḪÉ.GAL₂ ša TÚG:ṣú-ba-tam ù TÚG:[...]
AbB 1, 6: 24	[ša] be-el-ti-ša a-na ŠI?-BI?-Ú? il-qú-[x]
AbB 1, 6: 25	[it-ta-a]l-ka iš-tu U₄.20.KAM i-na <ON:>UD.KIB.NUN:KI ši-i
AbB 1, 6: 26	[x-x-x] mu-uš-ke-nim ša a-na te-ni-qí-[x]
AbB 1, 6: 27	[il-qú]-ú an-ni-ki-a-am i-ma-at
AbB 1, 6: 28	[...]
AbB 1, 6: 29	[ša uš-t]a-bi-la-ak-kum
AbB 1, 6: 30	[x-x] NINDA ša za-ma-ar-da-bu-tim
AbB 1, 6: 31	[DIŠ:DIN]GIR-ša-ḪÉ.GAL₂ a-na <DIŠ:>DINGIR-šu-ba-ni
AbB 1, 6: 32	pí-iq-da-am-ma
AbB 1, 6: 33	it-ti-šu li-il-li-[i]k-ma
AbB 1, 6: 34	me-ḫi-ir ṭup-pí-ia šu-bi-la[m]
AbB 1, 6: 35	ù ir-bi še-e ša a-na [x-...]
AbB 1, 6: 36	i-na-di-[n]u qú-ut-ti-a-a[m ...]
AbB 1, 7: 1	a-na a-wi-lim
AbB 1, 7: 2	qí-bí-ma
AbB 1, 7: 3	um-ma <DIŠ:>id-da-tum-ma
AbB 1, 7: 4	D:UTU ù D:AMAR.UTU da-ri-iš u₄-mi
AbB 1, 7: 5	li-ba-al-li-ṭú-ka
AbB 1, 7: 6	lu ša-al-ma-ta lu ba-al-ṭa-ta
AbB 1, 7: 7	DINGIR na-ṣi-ir-ka re-eš-ka a-na da-mi-iq-tim 2
AbB 1, 7: 8	li-ki-il
AbB 1, 7: 9	a-na šu-ul-mi-ka aš-pu-ra-am
AbB 1, 7: 10	[š]u-lum-ka ma-ḫar D:UTU ù D:AMAR.UTU
AbB 1, 7: 11	[l]u da-ri
AbB 1, 7: 12	[aš-š]um ša ta-aš-pu-ra-am
AbB 1, 7: 13	[l]a-ma tu-uk-ki ša te-eš-mu-ú-ma
AbB 1, 7: 14	[U]₈.UDU.ḪI.A a-na <ON:>ia-aḫ-ru-ru_ša-ap-li-[i]
AbB 1, 7: 15	at-ta-sa-aḫ
AbB 1, 7: 16	ù 1 me-at U₈.UDU.ḪI.A &(unt. Rd.)$
AbB 1, 7: 17	ma-aḫ-ri-ia
AbB 1, 7: 18	[iz]-za-az-za &rev.$
AbB 1, 7: 19	[ki-ma tu]-uk-ka eš-mu-ú
AbB 1, 7: 20	a-na mu-úḫ-ḫi ul-li-a-tim
AbB 1, 7: 21	a-na <ON:>ia-aḫ-ru-ru_ša-ap-li-i
AbB 1, 7: 22	uš-ta-bi-il-ši-na-ti
AbB 1, 7: 23	MU.1.KAM ši-na li-zi-z[a]-ma
AbB 1, 7: 24	D:AMAR.UTU-ma la-ma-sà-k[a]
AbB 1, 7: 25	li-ša-al-li-im-ši-na-ti
AbB 1, 7: 26	ki-ma ta-qá-ab-bu-ú
AbB 1, 7: 27	in-ne-ep-pu-uš
AbB 1, 8: 1	a-na a-wi-lim ša D:AMAR.UTU ú-ba-al-la-[ṭ]ú-šu
AbB 1, 8: 2	qí-bí-ma
AbB 1, 8: 3	um-ma <DIŠ:>DINGIR-šu-ib-ni-ma
AbB 1, 8: 4	D:UTU ù D:AMAR.UTU da-ri-iš u₄-mi li-ba-al-li-ṭú-ka
AbB 1, 8: 5	lu ša-al-ma-a-ta lu ba-al-ṭa-a-ta lu da-ri-a-ta
AbB 1, 8: 6	DINGIR na-ṣi-ir-ka re-eš-ka a-na da-mi-iq-tim 2
AbB 1, 8: 7	li-ki-il
AbB 1, 8: 8	i-nu-ma tu-ṣú-ú ma-ar-ṣa-ta-ma
AbB 1, 8: 9	pí-ia ú-ul e-pu-ša-ak-kum
AbB 1, 8: 10	ú-ul ú-na-i-da-ka
AbB 1, 8: 11	a-na <DIŠ:>e-ṭi-rum a-na 1 ŠE.GUR le-qé-e[m-ma] &(u. e.)$
AbB 1, 8: 12	a-na bu-uq-li ṣa-pé-e &rev.$
AbB 1, 8: 13	aš-pu-ra-a[m]
AbB 1, 8: 14	šum-ma <DIŠ:>e-ṭi-rum la ri-iq-m[a] &riāqum$
AbB 1, 8: 15	s[i]-ti še-šu la i-ṣa-ap-p[u]
AbB 1, 8: 16	1 ŠE.GUR šu-a-ti at-ta li-qé-e-ma
AbB 1, 8: 17	ṣú-pu šum-ma a-ḫi 2 i-na ki-na-tim at-ta
AbB 1, 8: 18	a-na ša aš-pu-ra-ak-kum la tu-uš-ta-a
AbB 1, 8: 19	1 ŠE.GUR šu-a-ti li-qí ṣú-pu-ma
AbB 1, 8: 20	lu-ú ú-sa-tum
AbB 1, 8: 21	i-na an-ni-tim at-ḫu-ut-ka lu-mu-ur
AbB 1, 9: 1	a-na a-wi-lim
AbB 1, 9: 2	qí-bí-ma
AbB 1, 9: 3	um-ma <DIŠ:>D:NANNA-MA.AN.SUM-ma
AbB 1, 9: 4	D:UTU ù D:AMAR.UTU da-ri-iš u₄-mi li-ba-al-li-ṭú-ka
AbB 1, 9: 5	lu ša-al-ma-ta lu ba-al-ṭa-ta
AbB 1, 9: 6	DINGIR na-ṣi-ir-ka re-eš-ka a-na da-mi-iq-tim 2
AbB 1, 9: 7	li-ki-il
AbB 1, 9: 8	a-na šu-ul-mi-ka aš-pu-ra-am
AbB 1, 9: 9	šu-lum-ka ma-ḫar D:UTU ù D:AMAR.UTU lu da-ri
AbB 1, 9: 10	a-di ša-la-ši-šu ṭup-pí
AbB 1, 9: 11	ú-ša-bi-la-ak-kum-ma
AbB 1, 9: 12	ṭe₄-em-ka ma-la im-ḫu-ra-ka
AbB 1, 9: 13	ú-ul ta-aš-pu-ra-am
AbB 1, 9: 14	i-na ITU:DIRI.ŠE.GUR₁₀.KU₅ U₄.9.KAM
AbB 1, 9: 15	LU₂:ZA?-ar-ra-ar-tum ib-ba-al-ki-tu-ma
AbB 1, 9: 16	1,2.3 ŠE.GU[R] ⌈i⌉-ip-tu-ú ma-ṣi
